fund,fund_code,snapshot_date,source_url,raw_file,raw_sha256,status,num_holdings,total_weight,captured_at_utc
easybalanced,EASYBF,2026-05-26,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260526.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260526.csv,e212df035d3faecfc98cc07c4f465744506e144c254d346e95f36862d80c434e,new,29,99.82,2026-05-26T12:49:46Z
easybalanced,EASYBF,2026-05-27,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260527.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260527.csv,d6504d1cd036e380bea8d767eeb44d681a03d11ea359d440fda01a1a9eb11518,new,29,99.78,2026-05-27T11:14:18Z
easybalanced,EASYBF,2026-05-28,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260528.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260528.csv,6e98892a2fd47938d72efa911d21182b5152d1a5c1fe1b3b5dba8c5a72bf78c1,new,29,99.76,2026-05-28T12:45:54Z
easybalanced,EASYBF,2026-05-29,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260529.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260529.csv,34c5d735155717f51eab43009c7e6bd073890fd0f2013cf9c2850b079424a61d,new,29,99.78,2026-05-29T12:27:44Z
easybalanced,EASYBF,2026-06-01,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260601.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260601.csv,4c9014767f08d324d0a39c4a9f678fa7d5411012142f4165d5d89ce8ec5b171f,new,29,99.8,2026-06-01T15:33:18Z
easybalanced,EASYBF,2026-06-02,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260602.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260602.csv,d721d297d6413497ac50bef8264a61c31dac18d9d48455dfa4edd8bdbf10ec98,new,29,99.69,2026-06-02T12:52:15Z
easybalanced,EASYBF,2026-06-03,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260603.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260603.csv,b1f6089694c36cf405a713bde93493780656be6241a006a2c677367df36421ea,new,29,99.79,2026-06-03T14:06:13Z
easybalanced,EASYBF,2026-06-04,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260604.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260604.csv,601a997c7f00f64fbd5b37b43dd4ccff751d002489f97d0fe6ea6cbdeeaf874e,new,29,99.77,2026-06-04T12:19:42Z
easybalanced,EASYBF,2026-06-05,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260605.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260605.csv,1ec3be96c542bf083f79d014312f98808446b4cfc91dbd646777ed9fc7e20a8c,new,29,99.75,2026-06-05T12:20:01Z
easybalanced,EASYBF,2026-06-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260608.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260608.csv,1ab3f6c9cc4c4414d64704d72ccf25c2970e989acde8da2fa2cf1f5eda6e2f3c,new,29,99.78,2026-06-08T11:13:47Z
easybalanced,EASYBF,2026-06-09,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260609.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260609.csv,3d38fed959d3ebd388abee950765bb95940d6309ea5c9eb0b6469b4e906563ca,new,29,99.66,2026-06-09T12:15:55Z
easybalanced,EASYBF,2026-06-10,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260610.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260610.csv,e5c00315780374754ce5be3dc295a8f9529aa1f8c8ed527132d29197d406ca82,new,29,99.67,2026-06-10T12:36:06Z
easybalanced,EASYBF,2026-06-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260611.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260611.csv,653605f9cc78d11e26481fdb179232ee407910a174b8ba1bb37d8b9f987d3acc,new,29,99.79,2026-06-11T12:54:50Z
